date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:15:21	90412/90412	---M--	200	added ('OK')	font/woff	etag:%22599a9a70-1612c%22	https://esp32.vn/_static/fonts/fontawesome-webfont.woff?v=4.7.0	C:/My%20Web%20Sites/ESP32/esp32.vn/_static/fonts/fontawesome-webfont3e6e.woff	(from https://esp32.vn/_static/css/theme.css)
13:15:22	152796/152796	---MCZ	200	added ('OK')	font/ttf	etag:W/%22599a9a70-254dc%22	https://esp32.vn/_static/fonts/fontawesome-webfont.ttf?v=4.7.0	C:/My%20Web%20Sites/ESP32/esp32.vn/_static/fonts/fontawesome-webfont3e6e.ttf	(from https://esp32.vn/_static/css/theme.css)
13:15:23	391622/391622	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22599a9a70-5f9c6%22	https://esp32.vn/_static/fonts/fontawesome-webfont.svg?v=4.7.0	C:/My%20Web%20Sites/ESP32/esp32.vn/_static/fonts/fontawesome-webfont3e6e.svg	(from https://esp32.vn/_static/css/theme.css)
13:15:24	96964/96964	---MCZ	200	added ('OK')	font/ttf	etag:W/%22599a9a70-17ac4%22	https://esp32.vn/_static/fonts/Inconsolata-Regular.ttf	C:/My%20Web%20Sites/ESP32/esp32.vn/_static/fonts/Inconsolata-Regular.ttf	(from https://esp32.vn/_static/css/theme.css)
13:15:25	109948/109948	---MCZ	200	added ('OK')	font/ttf	etag:W/%22599a9a70-1ad7c%22	https://esp32.vn/_static/fonts/Inconsolata-Bold.ttf	C:/My%20Web%20Sites/ESP32/esp32.vn/_static/fonts/Inconsolata-Bold.ttf	(from https://esp32.vn/_static/css/theme.css)
13:15:27	656568/656568	---MCZ	200	added ('OK')	font/ttf	etag:W/%22599a9a70-a04b8%22	https://esp32.vn/_static/fonts/Lato-Regular.ttf	C:/My%20Web%20Sites/ESP32/esp32.vn/_static/fonts/Lato-Regular.ttf	(from https://esp32.vn/_static/css/theme.css)
13:15:30	9339/9339	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2029%20Feb%202020%2006:15:27%20GMT	https://esp32.vn/_static/fonts/Lato-Italic.ttf	C:/My%20Web%20Sites/ESP32/esp32.vn/_static/fonts/Lato-Italic.ttf	(from https://esp32.vn/_static/css/theme.css)
13:15:30	656544/656544	---MCZ	200	added ('OK')	font/ttf	etag:W/%22599a9a70-a04a0%22	https://esp32.vn/_static/fonts/Lato-Bold.ttf	C:/My%20Web%20Sites/ESP32/esp32.vn/_static/fonts/Lato-Bold.ttf	(from https://esp32.vn/_static/css/theme.css)
13:15:31	9339/9339	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2029%20Feb%202020%2006:15:30%20GMT	https://esp32.vn/_static/fonts/Lato-BoldItalic.ttf	C:/My%20Web%20Sites/ESP32/esp32.vn/_static/fonts/Lato-BoldItalic.ttf	(from https://esp32.vn/_static/css/theme.css)
13:15:32	169064/169064	---MCZ	200	added ('OK')	font/ttf	etag:W/%22599a9a70-29468%22	https://esp32.vn/_static/fonts/RobotoSlab-Regular.ttf	C:/My%20Web%20Sites/ESP32/esp32.vn/_static/fonts/RobotoSlab-Regular.ttf	(from https://esp32.vn/_static/css/theme.css)
13:15:32	170616/170616	---MCZ	200	added ('OK')	font/ttf	etag:W/%22599a9a70-29a78%22	https://esp32.vn/_static/fonts/RobotoSlab-Bold.ttf	C:/My%20Web%20Sites/ESP32/esp32.vn/_static/fonts/RobotoSlab-Bold.ttf	(from https://esp32.vn/_static/css/theme.css)
13:15:33	32338/32338	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Aug%202017%2008:31:44%20GMT	https://esp32.vn/index.html	C:/My%20Web%20Sites/ESP32/esp32.vn/index-2.html	(from https://esp32.vn/genindex.html)
13:15:35	25370/25370	---MCZ	200	added ('OK')	application/javascript	etag:W/%22599a9a70-631a%22	https://esp32.vn/_static/searchtools.js	C:/My%20Web%20Sites/ESP32/esp32.vn/_static/searchtools.js	(from https://esp32.vn/search.html)
13:15:36	66183/66183	---MCZ	200	added ('OK')	application/javascript	etag:W/%22599a9a70-10287%22	https://esp32.vn/searchindex.js	C:/My%20Web%20Sites/ESP32/esp32.vn/searchindex.js	(from https://esp32.vn/search.html)
13:15:36	127/127	---MCZ	200	added ('OK')	text/plain	etag:W/%22599a9a70-7f%22	https://esp32.vn/_sources/hardware/index.rst.txt	C:/My%20Web%20Sites/ESP32/esp32.vn/_sources/hardware/index.rst.txt	(from https://esp32.vn/hardware/index.html)
